NC Object Id,Promo name,Billing Offer Id,Status,OPTIK TV Tax Included Offer,Promo Categories,,,
9163160815070325007,Partnership Promotional One-Time Credit,41178071,Active,N,Discounts,,,
9163160944936084760,Partnership Promotional One-Time Credit,41178291,Active,N,Discounts,,,
9158863837713668063,Pik EPP $30 Bill Credit,40902591,Active,Y,Discounts,,,
9155681459213186902,Pik TV EPP One Time Credit - $30,40902591,Active,Y,[NULL],,,
9163818020212232961,QuickConnect Lite One-Time Credit - $25,41206981,Active,N,Discounts,,,
9163818706669970874,QuickConnect Lite One-Time Credit - $50,41206991,Active,N,Discounts,,,
9151925168213290663,Realtor Referral One Time Optik TV Discount $50,40641291,Active,Y,[NULL],,,
9164158215131562886,Receive a $100 One-Time Digital Credit,41178071,Active,N,Discounts,,,
9164178632913446967,Receive a $100 One-Time Digital Credit,41178071,Active,N,Discounts,,,
9164179066379450648,Receive a $100 One-Time Digital Credit,41178071,Active,N,Discounts,,,
9162900263628724592,Receive a $50 One-Time Credit,41178061,Active,N,Discounts,,,
9162918871413281908,Receive a $50 One-Time Credit,41178061,Active,N,Discounts,,,
9162884629880724038,Receive a $50 One-Time Digital Credit,41178061,Active,N,Discounts,,,
9162884655172226824,Receive a $50 One-Time Digital Credit,41178061,Active,N,Discounts,,,
9164991515065891158,Referrals program - $50 Credit on Internet,40884101,Active,N,Discounts,,,
9160728892313905870,Rental Credit for Optik Self Install,40982324,Active,N,Discounts,,,
9155410024213141720,Retention 2.0: HP LD Credit 12 MO (LD Philippines 100) - $15,40900601,Active,N,"Discounts,Non Self-stackable Promotions,Retention,Value Based Stackability Discounts",,,
9155409697713141504,Retention 2.0: HP LD Credit 12 MO (LD Philippines 100) - $7.50,40900571,Active,N,"Discounts,Non Self-stackable Promotions,Retention,Value Based Stackability Discounts",,,
9162796320219108568,Retention 2.0: HP LD Credit 12 MO (Unlimited India LD) - $10,40871261,Active,N,[NULL],,,
9163654406802622440,Retention 2.0: HP LD Credit 24 MO (Asia Long Distance) - $3.5,41202581,Active,N,Discounts,,,
9163654413514622442,Retention 2.0: HP LD Credit 24 MO (Asia Long Distance) - $7,41202591,Active,N,Discounts,,,
9163654428891622443,Retention 2.0: HP LD Credit 24 MO (LD Philippines 100) - $15,41202671,Active,N,Discounts,,,
9163654422164645153,Retention 2.0: HP LD Credit 24 MO (LD Philippines 100) - $7.50,41202651,Active,N,Discounts,,,
9163654371974622435,Retention 2.0: HP LD Credit 24 MO (Unlimited India LD) - $10,41202611,Active,N,Discounts,,,
9163654361015622434,Retention 2.0: HP LD Credit 24 MO (Unlimited India Long Distance) - $5,41202601,Active,N,Discounts,,,
9163654347053645150,Retention 2.0: HP LD Credit 24 MO (Unlimited US and Canada LD) - $15,41202661,Active,N,Discounts,,,
9163654326525622432,Retention 2.0: HP LD Credit 24 MO (Unlimited US and Canada LD) - $7.50,41202641,Active,N,Discounts,,,
9163654390420622437,Retention 2.0: HP LD Credit 24 MO (Unlimited World 60 Long Distance) - $12.5,41202621,Active,N,Discounts,,,
9163654398377622438,Retention 2.0: HP LD Credit 24 MO (Unlimited World 60 Long Distance) - $25,41202631,Active,N,Discounts,,,
9164843929315407627,Retention 2.0: HP LD Unlimited US and Canada Credit 12 MO - $2,41217061,Active,N,Discounts,,,
9164793046616693347,Retention 2.0: HP LD Unlimited US and Canada Credit 24 MO - $2,41217051,Active,N,Discounts,,,
9164792985719693342,Retention 2.0: HP LD Unlimited US and Canada Credit 3 MO - $2,41217081,Active,N,Discounts,,,
9164792993283693344,Retention 2.0: HP LD Unlimited US and Canada Credit 6 MO - $2,41217071,Active,N,Discounts,,,
9159599900313819982,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9159600003913820318,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9159600232713820866,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9159600431413822869,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9159606108013847142,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9160005336613179509,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9160005338613179643,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9160005339513179712,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9160005340313179833,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9160131976913290402,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9160132066213290505,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9160132136213290662,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,Discounts,,,
9164776245729235015,Retention 2.0: HS Credit 24 MO - $10,40761451,Active,N,[NULL],,,
9159598116113792125,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9159598242013794592,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9159599900113819954,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9159600003913820346,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9159600232613820838,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9159600431413822897,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9159606108013847068,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9160131828513290211,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9160131976913290359,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9160132066213290509,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
